Date,Open,High,Low,Close,Adj Close,Volume,Days
2017-02-28,66.910004,66.910004,57.299999,58.77,49.449661,45305400,864
2017-03-01,58.779999,59.330002,57.349998,57.830002,48.658737,22808000,865
2017-03-02,58,58.52,57.75,57.950001,48.759701,10976600,866
2017-03-03,58.240002,58.279999,57.09,57.349998,48.25486,9057200,867
2017-03-06,57.299999,57.349998,56,56.099998,47.203091,11313400,868
2017-03-07,56.099998,56.43,55.049999,55.139999,46.395348,13236500,869
2017-03-08,55.439999,55.549999,55,55.02,46.29438,9417300,870
2017-03-09,55,55.349998,54.41,55.200001,46.44582,10878100,871
2017-03-10,55.349998,55.880001,55.049999,55.360001,46.58046,7591300,872
2017-03-13,55.380001,55.610001,54.84,55.189999,46.437412,7522200,873
2017-03-14,55.200001,55.369999,54.68,54.75,46.067196,6000100,874
2017-03-15,54.599998,54.709999,54.119999,54.57,45.915745,8525500,875
2017-03-16,54.400002,54.950001,54.25,54.59,45.932568,6354100,876
2017-03-17,54.700001,54.779999,54.290001,54.290001,45.680141,14193800,877
2017-03-20,54.549999,54.639999,53.939999,54.369999,45.747448,9164000,878
2017-03-21,54.41,54.459999,53.23,53.389999,44.922867,9146700,879
2017-03-22,53.349998,53.669998,52.77,53.580002,45.082752,5869000,880
2017-03-23,53.48,53.639999,53.049999,53.139999,44.712524,5722400,881
2017-03-24,53.25,53.349998,52.91,53.119999,44.695686,4351800,882
2017-03-27,53,53.75,52.849998,53.330002,44.872395,7644400,883
2017-03-28,53.189999,53.68,53.18,53.599998,45.099571,4395800,884
2017-03-29,53.650002,55.580002,53.549999,55.150002,46.403763,9848600,885
2017-03-30,55.060001,55.41,54.869999,55.25,46.487904,4870200,886
2017-03-31,55.200001,55.77,55.130001,55.189999,46.437412,7457800,887
2017-04-03,55.220001,55.23,53.849998,54.029999,45.461372,6970900,888
2017-04-04,53.82,53.990002,52.98,53.43,44.956528,6578300,889
2017-04-05,53.549999,53.84,52.720001,52.75,44.384373,6810800,890
2017-04-06,53.16,54.130001,53.07,53.57,45.074333,8672400,891
2017-04-07,53.470001,53.790001,52.970001,53.240002,44.796669,5782100,892
2017-04-10,53.48,54.34,53.400002,53.790001,45.259445,4978100,893
2017-04-11,53.810001,53.900002,53.139999,53.709999,45.192123,4917500,894
2017-04-12,53.360001,53.529999,53.189999,53.400002,44.93129,4534800,895
2017-04-13,53.490002,53.639999,53.290001,53.389999,44.922867,5087400,896
2017-04-17,53.360001,53.68,53.099998,53.68,45.166882,4702400,897
2017-04-18,53.599998,53.82,53.43,53.599998,45.099571,4371000,898
2017-04-19,53.790001,54.380001,53.709999,53.889999,45.343586,5419600,899
2017-04-20,54.209999,54.880001,54.110001,54.639999,45.974636,5843200,900
2017-04-21,54.540001,55.130001,54.540001,54.779999,46.092442,5948300,901
2017-04-24,55.16,55.290001,54.419998,54.82,46.126099,5717900,902
2017-04-25,54.900002,55.16,54.799999,55.150002,46.403763,4096700,903
2017-04-26,55.369999,56.290001,55.209999,55.98,47.102127,6273500,904
2017-04-27,55.98,56.169998,55.68,56.09,47.194691,3881200,905
2017-04-28,56.080002,56.080002,55.360001,55.849998,46.992741,8428000,906
2017-05-01,55.810001,56,55.52,55.77,46.925438,5164200,907
2017-05-02,55.740002,56.34,55.630001,56.16,47.253574,4017100,908
2017-05-03,56.139999,57.540001,55.919998,57.34,48.246445,7542800,909
2017-05-04,57.5,57.68,56.650002,57.290001,48.20438,5508800,910
2017-05-05,57.330002,57.580002,56.830002,57.32,48.229626,4845500,911
2017-05-08,57.509998,57.549999,57.029999,57.299999,48.212795,4553800,912
2017-05-09,57.41,58.650002,57.349998,58.080002,48.869091,8020700,913
2017-05-10,57.880001,58.490002,57.689999,58.41,49.146759,6954300,914
2017-05-11,57.75,57.869999,55.939999,56.060001,47.169441,13327000,915
2017-05-12,55.900002,56.009998,55,55.799999,46.950687,8957000,916
2017-05-15,55.32,56.139999,55.209999,55.349998,47.078262,8392900,917
2017-05-16,55.509998,55.560001,54.200001,54.529999,46.380802,11944900,918
2017-05-17,56.959999,56.970001,55.040001,55.040001,46.814575,23241100,919
2017-05-18,55.25,56.110001,55.16,55.830002,47.486534,11919700,920
2017-05-19,56.130001,56.439999,55.700001,55.990002,47.622604,9949500,921
2017-05-22,56.07,56.07,55.380001,55.459999,47.171818,9528900,922
2017-05-23,55.400002,55.43,54.439999,54.490002,46.346783,7136800,923
2017-05-24,54.509998,54.540001,53.759998,54.130001,46.040581,6780700,924
2017-05-25,54.34,54.560001,54.009998,54.200001,46.100117,7360400,925
2017-05-26,54.349998,54.549999,53.93,54.400002,46.270229,3738300,926
2017-05-30,54.509998,55.110001,54.360001,54.939999,46.729534,5763600,927
2017-05-31,55.25,55.299999,54.25,55.150002,46.908146,8401700,928
2017-06-01,55.25,55.889999,55.07,55.66,47.341927,5165300,929
2017-06-02,55.560001,55.790001,55.220001,55.52,47.222851,4485200,930
2017-06-05,55.57,55.68,54.93,55.630001,47.316414,4236800,931
2017-06-06,55.259998,55.27,54.32,54.580002,46.423336,6395100,932
2017-06-07,54.700001,54.830002,54.27,54.470001,46.329773,5728200,933
2017-06-08,54.470001,55.18,54.470001,54.630001,46.465851,5767100,934
2017-06-09,54.959999,57.07,54.73,56.900002,48.396618,7889200,935
